fname	protest	violence	sign	photo	fire	police	children	group_20	group_100	flag	night	shouting
train-00000.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00001.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00002.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00003.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00004.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00005.jpg	1	0.348705715563	1	0	0	0	0	0	0	0	0	0
train-00006.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00007.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00008.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00009.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00010.jpg	1	0.153150543348	1	1	0	0	0	0	0	1	0	0
train-00011.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00012.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00013.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00014.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00015.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00016.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00017.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00018.jpg	1	0.52754146224	0	0	0	0	0	0	0	0	0	0
train-00019.jpg	1	0.18533357101	1	0	0	0	0	0	0	0	0	0
train-00020.jpg	1	0.0723116164006	1	0	0	0	0	0	0	0	0	0
train-00021.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00022.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00023.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00024.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00025.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00026.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00027.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00028.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00029.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00030.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00031.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00032.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00033.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00034.jpg	1	0.270337972863	1	0	0	0	0	1	0	0	0	0
train-00035.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00036.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00037.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00038.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00039.jpg	1	0.310235817528	1	0	0	0	0	1	1	0	0	0
train-00040.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00041.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00042.jpg	0	-	-	-	-	-	-	-	-	-	-	-
train-00043.jpg	1	0.517761067844	1	0	0	0	0	1	1	0	0	0
train-00044.jpg	1	0.268224162901	1	0	0	0	0	0	0	0	0	0
